id,content,sentiment
359,منتج أصلى من براون ممتازة,P
360,من أفضل العصارات الحديثه,P
361,عصارة بمنتهى الروعة,P
362,تم الاسترداد ولا احصل ع المبلغ ارجو التواصل,N
363,هذا الموديل سيء بشكل عام لا انصح فيه,N
364,انصح باقتنائه في كل منزل وتعامل البائع جدا ممتاز وتغليف السلعه رائع ووصلت بوقت قياسي جزاكم الله كل خير,P
365,ممتازة سهلة التنظيف قوية,P
366,انصح بشرائة لعشاق العصائر الطبيعية وخاصة للتحضير للاطفال صحى جدا منتج قوى الماتور من شركة براون وسهل التركيب والفك والتنظيف,P
367,لازم لكل بيت,P
368,منتج رائع يغني عن جميع الاجهزة الاخرى,P
369,العصاره متوسطه الاداء عكس ما كنت متوقع تقوم باهدار كبير للفواكه,N
370,التغليف جدا سيء و المنتج وصل كلو غبار,N
372,انصح بها قوية وسهلة التنظيف...افضل الاسعار وخدمه ممتازه من hala-trade,P
373,منتج معروف من مولينكس لعصر البرتقال بحسب الوصف والسعر مناسب والتوصيل سريع,P
374,لم تكن المرفقات مثل الصورة,N
375,رائحته جدااااا جميله ومميزه وتدوم صراحه أنصحكم فيه ,P
376,رائحة جميلة و كمية مناسبة للسعر و جودة عالية,P
377,يجنننن ريحته كانه كذا كريمه خفق ع نظافه مادري ريحه تسطل قسم بالله ماتوقعت كذا,P
378,جنااااااااااااااااااان بجد ياخذ العقل,P
379,رووعه اذا مسك على الجسم الريحه تقتل,P
380,العطرجدا مميز و جميل ، ريحته ع بودرة ع مسك او بخور و لمسة عسل بس يبرد يصير باودري حلو و بخور بخور بخوووور ، و فوااااااااح حيييييييل انصح فيه بقوة,P
381,ثبات يظل لساعات ,P
382,يجنننن يجنننن يجنننن حرفييياً,P
383,عطر يجننن مرره وثقيل وريحته ثابته,P
384,العطر رهيب وفخمم وثابت جميللل,P
385,مركز مرره والريحه تجنن للي يحبون العود وثابت ماشاءالله بخه وحده تكفي وسعرها يستاهل,P
386,رررروعه بلا مناااازع روعه وكياته وجمااااااااال,P
387,روووعهه وجمممممميل امس وصلني وثاااابت وريحةةةة تجنننن لايفوتكم,P
388,ثابت وجميل ويتم العطر لين اليوم الثاني ومجربته عن نفسي وثاني علبه اخذها,P
389,صراحة 100٪ لايختلف عليه اثنين ,P
390,روووووعه احلى عطر مسك جربته نظافه مع المجموعه اروع,P
391,سبحان الله ما حبيته بس الناس اذواق حبيت اللي بالرمان والخوخ,N
392,عجزت اوصف عشقي لهالعطر بالذات ,P
393,والله جميييييل بمعنى الكلمه ريحه نظااافه وثابتهعكس ماقالو الناس ظلموه لا تسمعو كلام احد حولو بنفسكم,P
394,والله احلى واجمل واطيب وارق عطور عطورك ي القريشي يسلم ذوقك والله,P
395,يخسبق ماشاء الله والريحه ثابتهشكرا ابراهيم ع المصداقيه,P
396,خيال يجنن والله انصحكم فيه,P
397,المسك ممتاز جدا شكلاً و رائحةً و قوة ثبوت و سعره جدا مناسب شكرا لكم,P
398,من أفضل عطور المسك التي قمت بتجربتها.... العطر أفضل من التولة بكثير.,P
399,بدون مجامله العطر يجنن,P
400,سرعة توصيل، أصليةوصلت خلال يوم واحد فقط، تم التأكد من الأرقام المتاحة على السماعة وعلى الغلاف والتأكد من انها أصلية. فيها شحن لاسلكي,P
401,الميكرفون سيئ جداً,N
402,البطاريه جدأ ممتازه وتثبة بشكل جيد علا الأذن,P
403,هواوي شركة لا يعلى عليها ، سعر السماعة مقارنةً بالجودة ممررره ممتاز... انصح جميع ممارسين الرياضه باقتناء السماعه هذي ، اعجبت اهلي وشريت منها الان ما يقارب ال6 حبات,P
404,جيدة ومريحة نوعا ما فى الاذن يعيبها انها لابد من تركيب السماعة فى الاذنين اذا تم تركيب جهة واحدة تنزلق من الجهة الاخرى وتسقط من الاذن نتيجة عدم ثباتها على الرقبة,P
405,ممتازة وبطاريتها تطول,P
406,رائعة بطارية تدوم 6-8 ساعات حسب الاستخدام ، صوت جيد ، مدى 7-10 متر حسب الموقع ، لكنها غير مريحة قليلا في الإذن رغم وجود أكثر من حجم لقطعة السيليكون الخاصة بالأذن,P
407,ممتاز مطباق للمواصفات ولكن لا انصح فيها للاستخدام الطويل فهي تؤذي مدخل الاذن,P
408,على حسب المواصفات و بذا السعر اشوفها جيد مره,P
409,البطارية ممتازة لكن الصوت منخفض قليلا,P
410,لم تعجبني السماعة واستعمالها غير مريح ولا أنصح بشراءها مدخل الأذن يؤلم مع الاستخدام بسبب حجمه الكبير الذي لا يتناسب مع الأذن كبقية السماعات الأخرى ,N
411,مش قويه فى الصوت,N
412,السماعة كما في الوصف ومغلفة جيدا والتوصيل تم في الوقت تماما شكرا سوق كوم,P
413,مايحتاج ماشاءالله جميلة,P
414,سماعة اصلية صوتها نقي,P
415,اصلية و صوتها واااضح وكل شي تمام فيها وصلتني خلال يومين بس شكرًا سوق,P
416,"بإختصار سماعة عادية جودة ""الصوت"" حلوة لكن ""المايك"" سيء جداً يعني بالمكالمات السماعة السلكية المايك افضل من الايربودز وارخص بكثير",N
417,بطله,P
418,ممتازة جدآ ومشكورين ماقصرتم,P
419,تهبل,P
420,كانت تجربة رائعة,P
421,لا يوجد نقاوة في الصوت,N
422,الصوت يقطع على بعد ٥ امتار,N
423,الحافظه لاتشحن لاسلكي عكس ماهو مذكور في الوصف,N
424,منتج فوق الممتاذ خالص الشكر سوق دوت كوم,P
425,تحفةةةةةة,P
426,اصليه 100 % نقاء صوت رائع جدا وشحن يدوم لأيام,P
427,صينيه,N
428,صوت ضعيف جدا,N
429,تاخير الطلب ووصوله حتى بعد المده المذكوره لا يليق بسوق كوم ارجو الاهتمام اكثر بمواعيد التوصيل,N
430,جوده سيئه و دون المستوي,N
431,ماتركب علي جميع الاجهزة,N
432,صوت نقي جدا . لا تنزلق ابدا من الاذن وتنافس سماعات رائدة,P
433,صوت غير واضح وتقع كثيرا من الأذن,N
434,تقيمي لمنتج السماعات لانستحق الشراء،،تقيمي لمنتج السماعات لانستحق الشراءتقيمي لمنتج السماعات لانستحق الشراء,N
435,سيئه جدا جدا والشحن يخلص بسرعه البرق,N
436,الى الان تبدو ممتازة,P
437,لم تعجبني وماتثبت في الاذن الا لمن كأنك بتزرعهاعدم الثبات وتسقط في الاذن سبب ارجاعي لها لو لها سلك علئ الاذن او بلاستك يثبتها داخل ومن الخارج كان افضل,N
438,سماعات ممتازة وصوتها حلو وحديثة وتعمل بشكل جيد وليس بها مشاكل,P
439,رائعه وراح اطلب اثنين كمان,P
440,صوت المايك خفيف,N
441,شريت هاذي السماعة من عندهم كانت كويسة لكن ما كملت شهر و نص بديت اسمع صوت كهرباء من السماعة اليمين تواصلت معهم لها عندهم الى الآن 7 ايام ما ردوا علي للأسف وهذا انا انتظر تجربتي معهم صارت سيئة,N
442,سعر مناسب واداء قوي,P
443,سماعة مريحة وغير معقده تلعب ساعتين ثلاث بدون ما تعورك اذنكك وفوق كذا الصوت 1.7 يعني محيطيه تسمع الاعداء من اي اتجاه وصوت الخطوات الزبده رهيبه ..,P
444,احسن مايك استخدمته في حياتي ,P
445,واااو,P
446,اسطوريه,P
447,سماعة اقل ما يقال عنها خورافيه,P
448,السماعة جداً مريحه وممتازه ويكتم الصوت الخارجي,P
449,ممتازة جدا و تستحق الاقتناء,P
450,تخزين جيد جدا,P
451,افضل سماعة قيمنج في السوق حاليا,P
452,السماعه ممتازه جدا وجوده عاليه انا خذيت هذي السماعه قبل 4 سنين من متجر اخر وشغاله للحين بي فيه عيبين الجلد يعني يتنتف مع الوقت يعني بعد سنين من الاستخدام وعيب الثاني امايك اذا ماتحافظ على يخرب اما من ناحية الصوت الجودة تصنيع 10/10 وخذها ولا تتردد وشكرا,P
453,افضل سماعه اشتريتها من موقع وجات الشحنه بدون مشاكل,P
454,اسطوريه بألعاب الباتل رويال,P
455,صوتها عالي جدا وممتاذ، وشكلها شيك جدا وانيق، بتفصلك عن اللي حولك حرفيا، البطارية بتظل حتى 12 يوم مع استخدامي العادي حتى انني انسى ان اشحنها، ولو استخدام متواصل هتفضل 12 ساعة مع العلبة، 4 ساعات متواصل سماعات فقط بدون العلبة، عيبها الوحيد هوا جودة صوت المايك منخفض قليلا ويحتاج مكان هادئ لسماع الطرف الاخر، انصح بشرائها فانا راضي تماما عنها وجعلتني احب منتجات شاومي واثق فيها.,P
456,تقعد اسبوع بعدين تشتغل الجهه اليمين واليسار كل وحدة لحالها,N
457,بعد ايام صار فيها خلل، تشتغل سماعة وحده اما يمين او يسار مايشتغلون جميع بنفس الوقت مع العلم اني سويت كل الاعدادات والنصائح التقنية,N
458,ماتشتغل الاثنين,N
459,الصوت يصل للطرف الاخر بشكل ضعيف جدا,P
460,ممتاز وإيجابياتها اكثر من بعض سلبياتها. انصح بها بشدة وأيضا بطارية السماعات ممتازه وتشغيل السماعات ل6 ساعات متواصلة,P
461,ممتازة وفاجئني فعلا جودة الصوت فيها ، لاأنصح استعمالها في الاماكن العامة والمزحمة,P
462,جودة ممتازة كما في الوصف,P
463,السماعة جيدة متعبة بالاذن جداً السماعة اليسار تقطع مرات العزل متواضع والامبين ساوند جودته سيئة المايك متواضع جدا,N
464,جودة المايك سيئة الطرف الاخر لا يستطيع سماعك بوضوح اثناء المكالمه,N
465,بعد شهرين تقريبا خربت السماعه اليسرى,N
466,يعيبها تأخر بسيط في الصوت,N
467,"سرعه فى التوصيل , منتج عالى الجوده.",P
468,ما استلمتو اصلآ,N
469,ممتازه واصليه واستخدمها سنه للان,P
470,سيئه للغايه,N
471,حصلت فيها مشكله بعد السقوط ليست بمتانة سماعات ابل,N
472,راض تماما,P
473,من اكبر عيوب السماعة انك تعيد عملية الاقتران مرة اخرى اذا وصلتها بجهاز اخر. وبالنسبة لي تتزحلق من اذني رغم ثبات سماعة ابل في اذني بشكل ممتاز. العزل فيها ممتاز جدا وتعتبر كويسة مقارنة بسعر سماعة ابل,N
474,جميييييييييدييييله جدا جدا,P
475,صدق صدق روعه,P
476,ممتازه ورهيبه,P
477,عملية و ممتازة جداً ,P
478,انصح بهذي السماعات كان عندي سماعات سامسونج جير لكن هالسماعات تتفوق بكل شي ومريحه للاذن بالاستماع واللبس,P
479,ما فيش اى عزل صوت خالص,N
480,سلعة اصلية ممتازة,P
481,تحففففه,P
482,سماعة اصلية صوتها نقي,P
483,أصلية ماعليها غبار,P
484,اصلية و صوتها واااضح وكل شي تمام فيها وصلتني خلال يومين بس شكرًا سوق,P
485,ممتازة الأصلية وتم التوصيل في اقل من ٢٤ ساعة,P
486,قدرة لايصلح للطبخما انصح احد بشرائه لان خفيف ولا يتحمل الحرار المواد الغرانيتية من النوعية الرديئة لا ايجابيات فقط شكل,N
487,غير امنة,N
488,من اروع ماقتنيت,P
489,تم شراءة و للأسف لم يكن حسب التوقعاشتري تيفال من الداخل لايمسك بالاكل بعد الطبخ افضل من هذا,P
490,بصراحه يستاهل السعر روعه,P
491,جيدة استعملتها فوراً وزنها غير ثقيل وآمنة ان شاء الله .. سعتها ممتازة.. وصلتني بالوقت المحدد,P
492,منتج اصلي وجديد ولا يوجد به عيوب,P
493,رائع جدا ممتاز شكرا سوق كوم على المصداقيه انصح به انه رائع جدا جدا وتعامل المندوب كان رائع جدا ياله من منتج رائع الان استطيع ان اطبخ ب امان,P
494,حجمها حلو تنفع لعائلة صغيره وجودتها ممتازه,P
495,منتج كويس,P
496,كما بالوصف,P
497,اكثر من رائع جودة تصنيع ومتانة وخامة عالية يستاهل اكثر من سعرة,P
498,ممتاز غير لاصق بعد التجربة و خامة فخمه,P
499,روووعة وأصلية بس حجمها عادي,P
500,ممتازة حجم مناسب و جودة عالية,P
501,اليد ورأس الغطاء لا تتحمل شدة الحرارة مع مرور الوقت,N
502,يلتصق بها الاكل واللون يزول,N
503,جدا عمليه و أسعدني اقتنائها,P
504,سعدت باستخدامه خصوصا كان نفسى اشتريه من فترة وعروضكم الجميلة ساعدتنى اشتريه بسعر مناسب جدا,P
505,الطقم ممتاز والتوصيل سريع نشكركم على المصداقيه,P
506,اجابيه المنتج سهل التنظيف الاكل مايلصق,P
507,ما شاء الله ، شكل رهيب و حجم مناسب جدا,P
508,الوانه مااعجبتني,N
509,التجربة الاولى يبدو جيد و الطعام لا يلتصق ابد مقارنة بسعره جيد جدا,P
510,صعوبه في التنضيف الخارجي خوفا على اللون لا يذهب,N
511,ممتاز للطبخ وسهل غسيله,P
512,المنتج جيد جدا وعالي الجوده ومفيد ايضا لحفظ طعام الاطفال و يمكن إدخاله الميكرويف لتسخين الاكل فقط ومصنوع في ايطاليا ومصنوع من اجود الخامات,P
513,سرعه التوصيل ...دقه التغليف...جودة المنتج...واحترام العاملين للتوصيلمنتج جيد جدا ...اصلى من ايكيا ...لم استخدمه بعد ولكن نقاوة البلاستيك ومتانه العلب واضحه ..متعدد الاحجام وكل الاحجام لها كثير من الاستخدامات ..قلما تجدى هذا الكم من العلب فى طقم واحد ...الحجم الصغير اكتر بس له استخدامات كتير برضو,P
514,الجودة جيدة .. 17 علبة بمقاسات مختلفة تفي كل الأغراض .. كنت اظن انها صغيرة السعة ولكنها مناسبة لحفظ الطعام في الثلاجة بصراحة روعة وأنصح بإقتناءها,P
515,منتج رائع وخامته نضيفه أكثر العلب ذات حجم صغير (7 علب صغيره تستخدم فى أكل الأطفال فقط),P
516,الحجم صغير جدا جدا جدا جدا جدا جدا جدا لا يكفي طفل رضيعي,N
517,القطع صغيرة جدا ,N
518,العلب الصغيرة كتيرة اوي,N
519,جيده تدخل الميكرويف,P
520,منتج مقبول,P
521,انا قمت بشرائها و انصح الجميع بشرائها لأنها وفرت علي وقت وجهد كبير في عمل السمبوسك,P
522,صناعه بلاستيكية رديئة,N
523,سهله الاستعمال و عملية,P
524,سيء جدا غير عملي ,N
525, غير عمليه لا انصح بها لم يعجبني ,N
526,ماستخدمتها لكن التعامل معكم اسعدني جدا,P
527,السيور تنقطع بسهوله,N
528,اللي معاه ضعيفة جدا و بتتقطع من اول مرة استخدام,N
529,مثاليه للتمارين الرياضيه,P
530,اشكركم على حسن تعاملك ومراعاة سرعة الوصول شكرا,P
531,ممتاز جداً لجميع انواع الرياضة، و يوجد اكثر من نوع مقاومة للتمارين السهلة و الصعبة. و جيدة لتمارين المنزل ايضاً,P
532,انصح انكم تشترونه,P
533,هو افضل الموجود,P
534,اوصي بهذا المنتج سواءً للمبتدئين و المحترفين ايضاً، انه منتج يمتاز بالعديد من التمارين المتنوعة,P
535,الي الامام وربنا يوفقكم,P
536,مناسب للاوزان غير الثقيلة,P
537,يساعدك في التمرين كثير,P
538,شكرا ي سوق كوم توصيل سريع ومنتج جدا رائع بسعر مناسب شكرا ويعطيكم الف عافية,P
539,تنفع لي تقويت عضلات اليد,P
540,رقيق جدا,N
541,متين للغايةزي الفل و يستاهل كل جنيه,P
542, الاسفنج يتمزق من كثره الاستعمال,N
543,القضبان من خامة رديئة لا تتحمل الوزن,N
544,نفس الصورة,P
545,ممتازة.. مفيدة للرياضة تتحمل أوزان كبيرة,P
546,لم ينل اعجابي,N
547,التعامل مع البائع كان جميل واعجبني كذلك سرعة التوصيل وجودة السلعة,P
548,جيدة جداً ورخيصة للي يحبون البلاش,P
549,قضبان تمارين الضغطمختلف فى الشكل والمواصفات,N
550,باختصار شديد سهل الاستخدام و تنوع التمارين فيه وصغير الحجم بنفس الوقت,P
551,لاانصح به,N
552,الخامة ردياء بعض الشيء,N
553,تكسر بسرعه,N
554,المواد المصنوعه رديئه,N
555,المنتج ممتاز ونشكر لكم حسن تعاونكم وسرعة التوصيل وارجو في المرة المقبلة ان يتم تجميع جميع مشترياتي وارسالها مرة واحدة,P
556,مطاط ممتاز وخفيفه جدا وتتخزن بسرعه واستخداماتها كثيره,P
557,الحبال ضعيفة غير مناسبه للرجال للنساء فقط,N
558,السعر مناسب بالنسبة لفكرة الجهاز وليس جودته ، فجودته تحتاج لأن تكون أعلى من ذلك,N
559,جميل وانصحكم فيه ويجلس معكم فتره طويله ولله الحمد .. شكرا لكم واتمنى لكم التوفيق,P
560,افضل من ما كنت متوقع,P
561,مقاس صغير لا يغطي كامل الفم,N
562,البخار ليس كثيف,N
563,مرا حلوو و,P
564,كويس اشتريته عشان الة البخار بس,P
565,مرة جميل بنات انصحكم فيه وعملي جدا,P
566,مررررره يجنن وماندمت اني اشتريته,P
567,سعرها ممتاز وارخص منه في غير سوق كوم . والجهاز مفيد وخصوصا لمن عنده مشكلة في الركبة حيث ﻻ يوجد اي ضغط عليها اثناء ممارسة الرياضة,P
568,جهاز جيد للحرق ولكن كنت اتوقع احسن من ناحية القوة,P
569,غير ثابت وقت اداء التمارين عليه,N
570,مزعجه جدا,N
571,خفيف والسلك وصل مقطوع,N
572,خفيف ولايتحمل الأوزان الثقيله,N
573,لا انصح به لأنه لا يجهد الجسم وبذلك لا يؤدي الى نتيجة,N
574,ماله فايده,N
575,ردئ الصنع,N
576,ممتاز وسهل الاستعمال ولا يجهد ويصلح لجميع الاعمار,P
577,ممتازه كما بالوصف,P
578,جودة سيئة وسعر مرتفع,N
579,وصلت بحقيبه جدا عمليه ومفيده,P
580,حححلوه,P
581,حاو,P
582,جميل وسرعة توصيل,P
583,منتج رائع مطابق للوصف المذكور، الشحن جيد ومغلف بطريقة لابأس بها,P
584,ممتازة جدا و الشحن كان اسرع من السريع,P
585,الشحن والتوصيل سريع جدا ماشاءالله انصح به والسعر مناسب والجوده ليست سيئه,P
586,مرا حلوووو لكن يعر شحنه مبااااالغ فيه,P
587,رائع للاطفال والكبار يوجد فيه ميزان لزيادة الضغط وتخفيفه للاطفال,P
588,ممتازة وخامتها جيدة ،,P
589,لايحتوي على كتلوج للمنتج ولا على طريقة التركيب او طرق التمارين و لا استطيع تركيبة على الباب لصغر حجمة,N
590,جودة المنتج سيئة جداً جداً ولا انصح احد يشتري منه,N
591,منتج جيد و مفيد و أمكنني عمل جميع التمرينات المذكورة و سهل التركيب و خفيف الوزن و ا يشغل حيز كبير.,P
592,ضعيف و لايركب على كل الأبواب و اتكسر الحامل بعد مرتين فقط من الاستخدام,N
593,لا يثبت على الباب و لا يوجد معه ما يساعد على تثبيته الى الان لم يستخدم,N
594,حجمه صغير مايتسع للابواب خاصتا في السعودية لانه صغير الحجم بالنيبه للابواب عندنا,N
595,المنتج صغير ممكن ينكسر في اي وقت,N
596,ماشاءالله الريحه خرافيه تاخد العقل وفواحه يومين ,P
597,حبيت الخلطه جدا جميله اعشق الورد ولمسة التباكو غريبه لكن مميزه,P
598,جميل جدا وذات رائحة سحريه وبثبات عالي انصح به بشدة لاصحاب الذوق الرفيع يتماشى رجالي ونسائي ايضا,P
599,ريحته خييييالية و ثابتة انصح فيه، اول مرة اخذ عطور ع مدح العالم و فعلاً يستاهل التجربة,P
600,حقيقي جرعة فرح ريحتوو خياللل,P
601,قوامه دهني ، ريحته جميلة وثابته,P
602,جممميل وثابت يتم لين اليوم الثاني خصوصا اذا شعرك مبلول حتى ريحتهه ع مخدتي ☹️???????? جممممميل جمميل الود ودي اخذ كميه واجد لين علشان ماتخلص من عندي ثاتي مره اطلب منه ????????,P
603,سويت ريحة حلاوه مع المسك لطيف جداً,P
604,ممتاز جدآ رائحته جميله غني عن التعريف,P
605,ممتاز جدآ رائحته جميله جدآ,P
606,ريحته روعه ... جدا حلوو .. أقرب لدهن العود من المخلط,P
607,لايمكن تعليقها على الباب,N
608,غير مناسب,N
609,جودة سيئة,N
610,ممتازة وأنصح بها التوصيل السريع ومتانة مواد الصنع وصحيح انها صغيرة على الجدران في السعودية إلا أننا استفدنا منها في كثير من التمارين الأخرى وسعرها ممتاز,P
611,لا توجد سلبيات . المنتجع يعتمد على مقاسات معينة (عرض الجدار أو الباب) المراد تركيبه عليه,P
612,الحلق صغير جدا ما يركب ع الباب عرضها عرض بلُكه,N
613,غير مناسبه للمواصفات الخليجيه في الأبواب,N
614,القمااش سيئ جدا,N
615,سعره ممتاز جدا واشكر البائع لذلك وخامته جيده ايضا لكن انتظرت طويلا شركة الشحن بطيئه ارجو التعامل مع شركة شحن اخرى,P
616,اعجبني,P
617,ماشاء الله حجمها صغير لكنها جبارة ضغط الماء قوي جدا,P
618,ممتازة جداً وسهلة الاستخدام وتستفيد منها بأشياء كثيرة كغسيل المنزل والسيارة والمكيفات وتنظيف الأرضيات والبلاط الخارجي للمنزل يحتاج من شراء لي للتوصيل من مصدر الماء لجهاز المضخة مجربه ومفيد,P
619,المنتج جيد من ناحية الاداء والقوة لكن فيه مشكلة ان الهوز الي طالع من المكينة حق رش الموية قصير جدا جدا يعني تخيل تقعد تشيل المكينة في يدك كل متر او مترين وبرضو سلك الكهرباء قصير جدا,P
620,ممتازة جدن وجودة وقوة ماشاء الله تبارك الله,P
621,مواصفات جيدة وقيمة مقابل المال من البائع سوق كوم,P
622,روعة انصح به,P
623,حجمها صغير لكن ادائها فعال جداً على سعرها جداً ممتازة,P
624,"وصلني في الرياض خلال 24 ساعة. ضخ الماء قوي جدا وصراحة تفاجأت من قوته, تردد التيار 50.60 هيرتز 220-240 فولت.الجهاز موديل جديد 2018",P
625,لايوصف شئ جميل,P
626,ممتازه جدا وقوة دفع عالية ...عيبها قصر الهوز فقط,P
627,منتج حسب المواصفات المدونه يعني منتج ممتاز وانصح بشاراؤه,P
628,سيء جدا,N
629,عيبها القاتل حجمها ما يركب,N
630,السلعه ممتازه,P
631,المشكل يومين وخرب,N
632,حجم ممتاز وسلاسة في العمل راض جدا عنه,P
633,منتج ممتاز وقليل الاستهلاك للبطاريه,P
634,ماوس كويس ويؤدي الغرض منه,P
635,شكل جميل خامات ممتازة,P
636,التوصيل سريع المنتج جيد جدا,P
637,جودته كويسة والحساسية بتاعته حلوة..وعجبني جدا اضائته,P
638,جوده عاليه و سعر مناسب,P
639,رهيييب مره بس ما يمديك تغير الالوان على كيفك اول ما شفت الكرتون حسبتهم غشوني الصراحة بس لما جربت الماوس طلع رهيييب,P
640,بعد مرور فتره منه بدا بالتعليق,N
641,منتج سي جدا جدا,N
642,لم يعمل. و سعرة مرتفع. لبقيه المنتجات المشابهه,N
643,الازرار الجانبيه بطيئه في الاستجابه,N
644,الزرار بيعلق بعد 3 ايام من شرائه,N
645,منتج بعد يومين تلف منتج سئ سئ سئ,N
646,لا يناسب شخص يده كبيره,N
647,الجودة مش عاليه,N
648,ممتاز ومازال يعمل بعد سنة من شراؤه,P
649,مانصحش حد انه يشتريه ابدا المنتج سعره غالي جدا علي امكانياته وعلي جودته وخاماته اللي زي الزفت اصلا الماوس مكملش معايا يوم واحد ووقف اصلا وخفيف جدا من اقل خبطخ هيتكسر,N
650,بطء شديد وما تشتغل الا بعد عده محاولات كل مره,N
651,افظل ماوس للقيمنق وكل شي تستاهل كل ريال,P
652,اروع ماوس جربتة ينفع خاصة للي ايديهم كبيرة ,P
653,جيدة جدا وتجربة فعلا مختلفة واختصارات لايعلى عليها العيب الوحيد الي فيها ثقيلة شوي والسلك ماتدري عنه كانها وايرلس اعطيها 9.50/10,P
654,ماوس جيد جدا للالعاب الازرار الجانبية مفيدة جدا جدا لكن مشكلتي مع الماوس انه حاطين لك زرين في النص لتغيير البروفايلات والدي بي اي لكن ماتقدر تستخدمهم في الكي ماب عموما ماوس جميل انصح بإقتنائة,P
655,صرآحه المآوس مريح باللعب و عملي في كل شيء بس أتوقع لآزم يكون في مآوس بآد ممتآزه لأدآء أفضل. التآجر كآن خطيييير! وصلني المنتج ثآني يوم من الطلب,P
656,ماوس خورافي وفيه اكثر من ظبط لسرغة التحكم دي بي اي و أوزان,P
657,الوصف غير واضح انه تناسب فقط الاشخاص الذينا ينامون على وضعية الظهر,N
658,ضعيفة والارتفاع قليل,N
659,تؤدي الغرض,P
660,المخده ماتبرد بالشكل المرغوب فيه,N
661,بارده فعلا,P
662,مريحة جدا و حجمها مناسب,P
663,مناسبة حسب المواصفات و السعر,P
664,ليست سيئة,P
665,الجل لا يظل بارد طوال النوم تحتاج ان تغير من موضع راسك كي تشعر بالبرودة من وقت لاخر,N
666,مريحة جداً سواءً للنوم او للجلوس,P
667,أنصح بشراء لمبات شحن سانفورد وذلك لجودتها العاليه أنصح بشراء لمبات شحن سانفورد وذلك لجودتها العاليه أنصح بشراء لمبات شحن سانفورد وذلك لجودتها العاليه,P
668,صغيره جدا,N
669,بالنسبة لي جميل وناعم الملمس ويعطي منظر يوجد فيه تخفيض,P
670,جميله وحجمها نفس اللي بالصوره,P
671,يجنن,P
672,السلعة ممتازة شكرا للبائع,P
673,ممتازة والوانها رائعة وجميلة والبلوتوث شغال والريموت شغال يتحكم في الصوت والتبديل بين الاغاني التوقف المؤقت,P
674,جيد جداً وكما هو في الوصف. يحتوي على خاصية البلوتوث,P
675,حلوه تشتغل بالبلوتوث,P
676,بجد جميله وسعرها مقبول جدا,P
677,جيد وصوت عالي وبيعمل جوا حلوو,P
678,استلمت المنتج في مده اقل وفي حاله ممتازه كما تم الاعلان عنه,P
679,القماش وخاماتها جيده جدا. وارتفاعها ناسبني انا ما احب المخدرات المرتفعه,P
680,لم تكن جيدة بما يكفي من ناحية الجودة,N
681,راض,P
682,ممتازة ومريحة وسعره مميز,P
683,جودتها جيده ، مشابهه لمخدات الفنادق تحتاج لاثنتين للشخص الواحد او تدعمها باخرى,P
